block_number,transaction_index,operation,transaction_hash,amount,current_supply
19550489,38,mint,0x9867b4646d02462b1b57de942e8be3e0b159ac1df2ca26e9878859e3717bedc9,100,12600
19550489,148,mint,0xcc61b00fb2aeca994939ee70ef738644e7d5b4e3245f9ec22641dd651bcfe38b,100,12700
19550489,149,mint,0xbb2df45a0a72ba78d46dba0990ddf9ad71303c682a3c580593ed6785e19f33e5,100,12800
19550489,150,mint,0x27bc367d1b9e56ce610d3d22658f0bd3e6930abe40ae13f2d5448b06f69b3c42,100,12900
19550492,43,mint,0x5c15d8c2ccaec3a5b98ac656fbe5b3804f9c590c8375709106cdeca6c9ac58b4,100,13000
19550492,44,mint,0x2d258ff0e703614d9562eeabaf369c717dac2f71ade9ef7f83bf509448192026,100,13100
19550492,45,mint,0xe72fec9bd539e2c848ffee79d9ac3f768adcd23541ca374a5c919b32f882dc6b,100,13200
19550492,46,mint,0x6d1f3209b832c370c36dd13f6837cd545349cc2086e7d8061fa33bbff3ba51bf,100,13300
19550492,47,mint,0xfcba6b6ef897e7a48c023aeda058c3c4121cdb3996cb2507aec47d96027a54b9,100,13400
19550492,48,mint,0x22b2d365cce033745e8fdce040c52deae1474d0c76401a987ebcf7f6872494bd,100,13500
19550493,64,mint,0x9ea6ef0821bb3ba7dd2bbdd6c68ba8d08874cddd548b82b0e652054eb2a6addc,100,13600
19550493,65,mint,0xeaa9f396fd28c9e39a36d2b56f75c4b0790b1207ced689b281e58d50aa3ff58f,100,13700
19550493,66,mint,0x75c2edfb928f5a15d78ce269ecf95dcb59bc2caf30ea398c4f036a94392b26ef,100,13800
19550493,67,mint,0xc78d5115b29ebee5b6551bb5785abfe93b670167eb4c81f1c0b0432d5b7e8e58,100,13900
19550493,68,mint,0x975b1fa27e397c86d60a2cb9a4688bccfeb94e1e661c4ad456d198e37a0be2d6,100,14000
19550496,41,mint,0x33889bbc10126d7dc80ac423fe0c815123e4f3bbc885c28ff1a4b21361850152,100,14100
19550496,42,mint,0xb9a401ff533d013dfd32227623093b0ddf691d11e1bb9be36bf0a8dab1a6dc1f,100,14200
19550496,43,mint,0x2e308e233874ce869d3947f1570269f30cea7e1ae1505737f7d4859f4eb217b1,100,14300
19550496,44,mint,0x786fd6904b7f5e8ce467fe6ba37a7f302890c587613e7d7e36139db761f95bbf,100,14400
19550496,45,mint,0x3cf0a5dc650a91d26151e4b081ce6a1d1a1afc48eba6b20345b86abba212e51d,100,14500
19550496,46,mint,0xf33bbe5d919205b75851679282792533623cba7bdd0df0ad772ca60edc6e34fb,100,14600
19550498,80,mint,0x79467a9d9cb37b9ba8d35c3ab1ea5e848d531a5274f792bae2299978ced888e7,100,14700
19550498,81,mint,0x5dd293ac2e08b416cd1c0103c8e8f2396b1d3978f165d269994e1b0d6a0f53aa,100,14800
19550498,82,mint,0x4cb07d789b684a31f3af2daab40933ec0936d3292eb0095b9a77121fa2cd37dc,100,14900
19550498,83,mint,0x14f6c10db9aecec865c9d2ad878dcaad8717f3254fc67a7858520210596a06ac,100,15000
19550498,84,mint,0x32de82a242bc62d76e9044c076579b0a6bce85d6617acb1176b540f40877bbbe,100,15100
19550499,69,mint,0xa7695d5b46cbf8f01967f4cc9d111cd6e5c96a00b640226756b5cef6cfd13a4f,100,15200
19550499,70,mint,0x662973ba698965dc7c2f48af0355d1318fc81f54e30c319cc70c9e17d3e1d4d2,100,15300
19550500,35,mint,0xd4988f9be4fae8cf5065e66736a957d3ea91253172b69160a3f0525946888a52,100,15400
19550500,36,mint,0xdc9b48ed81523252f2ee9d8b0b8e794f3fb13267467117d882cdc026443c2432,100,15500
19550500,37,mint,0x9a8a8defaa28262764a826171b47e2388fe01c25a31dde82af6f42db9e33eb48,100,15600
19550506,52,mint,0xdeff071d1b922e3fc39448a6b0fc608336e4be0b4c705a5662a53f27d87e4a24,100,15700
19550506,53,mint,0xd1f05854caf41b637f3aee5bf68c206752e8ca80aa3877e00e989475f4f00249,100,15800
19550506,54,mint,0xf675fc46e5667702a7d3a2a0793d23f34b88eb6e3780bd872a5822879163b9b6,100,15900
19550506,55,mint,0xa3eb285ed104693102314169d605d4942505d402a355ce97487134b093e9e7a6,100,16000
19550506,56,mint,0x3e362c457e561cede7107f8028db068ba1281ec34d2de94021ace62dc101cc5a,100,16100
19550506,57,mint,0x2a2072c989e0e6b31899e6fa6d16434cefd617ac1eaa9e178dc8369488d6aa2c,100,16200
19550510,47,mint,0x6949af20b89d73d223e5bc981b33a086ef1fd9807651312629fb62110586370a,100,16300
19550510,137,mint,0x0cf8bef3efd2fba86555cd7d7780095d4bfcfac8b6738c2572fc30012c2a7e92,100,16400
19550510,138,mint,0x22d13a67b61be69fc5dd1dd43e9445d848a1c7ae8834800f228107eb32023340,100,16500
19550510,139,mint,0xc0ba6f0e49992e629e5deccea55621dc18ee66b359adb39a68e464f1a0a02420,100,16600
19550510,140,mint,0x347bf0c5818230b76b8e44a88863db0e2d6259e998029bbbf8677b1b61b46c94,100,16700
19550510,141,mint,0x16cb9978ba42ed8c4dd80ef667959f27fd2bb27539b9bb0e86939a1f699a7650,100,16800
19550514,33,mint,0x01c175e645ee6b10fc895506d079db38fd22ba0250d203d1de67cdb1306b51f1,100,16900
19550514,117,mint,0x7c67d51aa7e5ab957c245ac7d00ef0cd94873f2e63d411c95e0aecb5007fc2ce,100,17000
19550514,118,mint,0x79c822407c89d76d5526a671bc31e3f8bb177a0c6eb3dc3bf86d32eab2a56ade,100,17100
19550514,119,mint,0x2967e2d4ffedc24c8274201ec49ac47fb9cfcc641872c5f894dc96d3b0bdafda,100,17200
19550514,120,mint,0x720cc3a8b7b31ab72e22b3453dfe89488c24eb53d81a0ba5417dfb6bbd83099f,100,17300
19550514,121,mint,0x68c449d5578847ddcbf23a2f70727323b8394cf18703ee846b8145db7714860d,100,17400
19550519,113,mint,0xb7b5c6f6fa9a6d6cbc67b81cc2f6cb366988a5a87a2d85e99d85902dbc24ad78,100,17500
