block_number,transaction_index,operation,transaction_hash,amount,current_supply
19535342,65,mint,0x640a5ed5ece86892d009af116803959fd7f1c1d0b09b0d165abb38181f4129e5,10000,1902001
19535343,120,mint,0x22e7de5d2aa2fe56f78ec55ac98647a4af3bbadcb0b68a43c09b6f0de604074b,10000,1912001
19535343,121,mint,0x449cdaccec2f389a8b45e24018e2dcb5e62a8e245d2a7b759d6ddc4babf901bf,10000,1922001
19535350,126,mint,0x1f09b21e867c52c3af9cc00344f5593af4784499fd20ec09431b1c837c28c47b,10000,1932001
19535354,85,mint,0xef6b8470e228139a6ff3dd5e5191958dbd6b92c21c80d6bdef7d3d485c2392de,10000,1942001
19535356,122,mint,0x40dee0f59363146a32cffd14f8619a95037eb5f065d7f88d50f4be95bf70deda,10000,1952001
19535356,123,mint,0x147a77fffa27a6f368b12c895419304f0240cf76364733b43c7a67bd899e7dac,10000,1962001
19535359,117,mint,0xe00079ce60be61c825e04eea294a3fc12b355ff6e594fcf1aa2241c0375ae3d8,10000,1972001
19535361,87,mint,0xd2470fd9d1dd54f9769f3dd9807410b4dcff3b49cdf5695cfb6fb9f0a26502c6,10000,1982001
19535363,53,mint,0x27e615812412d184ba2b62a9d0f5e94fcce2a98b0c6c65d38751302766c6f73c,10000,1992001
19535363,54,mint,0x335e0865c0dd7fe4d40ed5600c1952f49aa22908d72e176a744ae7af7d82ae96,10000,2002001
19535369,79,mint,0xdebf1a73c22a3758f623c76ac4816007e2dc64e7e84e4a7a8bb52cd3db53d306,10000,2012001
19535369,80,mint,0x1518c3966a17bb52246e361b3e55a8d6b521eb2a4849125e3936abecf1f6d846,10000,2022001
19535374,74,mint,0x87efdb003179e749b0be0c0fb24709a08b64d416872bb265ff2cbe5dbfef8664,10000,2032001
19535375,123,mint,0xf2e0d2b42840bdfe1618a3d008f01b29a1380c7196868ec5025f20b61c9981d5,10000,2042001
19535375,124,mint,0xd0240ac019a83646197deeed7db017f54d2f05a5e1daa6bff2336af9b675f4e4,10000,2052001
19535386,67,mint,0xa756211e767fff1f2d1a672fe84f59cb55a04079b9b7d7bb24cfb0520978de26,10000,2062001
19535386,68,mint,0xacc695c0feb8bf1f34dbdfcd6d55e4d5ef582ef5fb7c48b7b55f675741d6e862,10000,2072001
19535389,96,mint,0x3ea7abaa17dcd7270d1b3e2f41ee0a13feeba9438237ca32eab90a10213e1966,10000,2082001
19535389,97,mint,0x5a34844fee6c8d6bb5fc19964d92d20dcfefc3e53d40630f7b8d34c795ecbcbe,10000,2092001
19535389,98,mint,0x29150279526674d793c54cf2ccc2961efc9c1663cc9e3e79ef221a1a77292f2c,10000,2102001
19535397,47,mint,0x0d5c6ef7f8900671f7710c59a4ff5220471e4d064d08b170ab5ebef2b3776a68,10000,2112001
19535403,112,mint,0x2619e93ec55d63abeaf866082d852550b2612402a1cca3c7c4ca753c1e47c31a,10000,2122001
19535405,98,mint,0x345937a6cb2e8a42eb47bb3fe7dd3f2e0b0f05f24848c876867395ff75ae3b11,10000,2132001
19535407,62,mint,0x46cf5c569664ac6349f54b7510fe72c10f1108c0afd26c47b927ccf9e05b0bfb,10000,2142001
19535409,134,mint,0x56fb07f392245232cf10a03b8c8c4f1fe154595975da7395ad9e3fa73f05a902,10000,2152001
19535409,135,mint,0xcc9cf4749970361cf4b7db886d2213780a634ecfb9917f11bf8bfafc7243aef6,10000,2162001
19535411,39,mint,0x555b2ca85cfcc2f265e7eb32f3af7c5a7f03da1d1326f9cf3058d72d54c30dd3,10000,2172001
19535418,69,mint,0xcafaa6acf5b346243809230feb8b714cad0ac5ce0f1c4dac3e88c5c66f774e36,10000,2182001
19535418,74,mint,0xd4c6065724175e7098030b1bafee41da4c4f20bb5c3ecebdf51033cd39d3b231,10000,2192001
19535419,32,mint,0xf1fed0a64e44ba3c79c514beeccda144625038440c44f9b1fb801098b3bfd797,10000,2202001
19535423,251,mint,0xf4315b8ccb25aa3a12d77154f9a8788dbc69c0dd720b14ce48fc5f8044560431,10000,2212001
19535429,245,mint,0xfcad740a31304c09ce3e4f3c60e722f1f37b3e5dcae4f840882dea45950ee667,10000,2222001
19535429,246,mint,0xae8659e7339298153d941f759c74e7aef840906e11dfd2aa0587535287e8de36,10000,2232001
19535429,247,mint,0x0d152d8507c36e0885731268f71a4584085a7e2ea1337f9aab548ee1601f0598,10000,2242001
19535432,60,mint,0x8bd4866a07cd201192da997eac16df633204240f1b92013850982a41a12af085,10000,2252001
19535438,193,mint,0x5b80c8768e41061b2f8cab79440d78497cfa407a927cb46de593ccb8c425ac96,10000,2262001
19535441,84,mint,0xcb770e2cfa7d14bb60079058e388fa94a42b66fc62ca00cad6c67e330982aa0d,10000,2272001
19535441,85,mint,0x652835e786832a5775cbe43079daac04e310f74a5d9ab45d089c628efdbfdae3,10000,2282001
19535441,86,mint,0x8389553379f5b04168b2854b86132bed907b3fbe0a9bc8b3991edca177fef0a2,10000,2292001
19535445,59,mint,0x3b36198c4478543915401ae02734378201ec4599b5cb26be8a44f8450acfe8e1,10000,2302001
19535446,61,mint,0x5960bb66dabb6a7d9e3835e115d53a8083655dddf0412c71630b3319fd03fd57,10000,2312001
19535456,88,mint,0x6ef5050a88c5ab036b2cee48d4e8e0f5110b321620d19103923d4b32cb40872d,10000,2322001
19535456,89,mint,0x706c998dbafabc760fbe4f3fe7150213dc3d86506b8f883328c6ec6e41f71add,10000,2332001
19535461,152,mint,0x970299df0a28e097908ac132e43ba1328281f378bdf659daf0efd0a5fab5c68b,10000,2342001
19535461,153,mint,0x7d116339a3e34b4a6787066c3dedf70983271c070251de53e434555ed6032705,10000,2352001
19535467,80,mint,0x554cec8d14fcad2ac40732c17e35ef1de73f12c004677063e2169bcbf0e168d7,10000,2362001
19535469,76,mint,0x8a664c0b2defef6a79f55c53f2509f09411f44bc85e7cbf44900bf4cf80ecdd1,10000,2372001
19535473,79,mint,0x8ecd5d4ef566e5669b8049f94145709f2e1edd24bb348cfa52c63f40bc2213d5,10000,2382001
19535473,80,mint,0x4a3adef92301fb4f26d830a40265755a6def12b4acbc4433ea0ad0bbbb596e86,10000,2392001
19535477,57,mint,0x09f3cc6d29b7d12ce32eaed6988ea122c49c59eef207b2cf281d00c5df1d2acd,10000,2402001
19535480,84,mint,0xc8c9423314c8e96f91e3def7406133aeade5adeed3cf3a380b0114f0a4edf9d4,10000,2412001
19535483,60,mint,0xf2117ccabcabef3735c55dabd9e592d4c1ec3321c2d3825c4ed64ceea3b011d0,10000,2422001
19535483,61,mint,0x09515ebc32c675f8677438fb749fa535d746940ea7b21c1f83cff19f35a2d88d,10000,2432001
19535487,56,mint,0xdb32a7e44825161d262c763804afaf2f129cd04e129e856ae8a547f60d8d0d5b,10000,2442001
19535488,49,mint,0x5ab128a83dc449597a0606213b5eaf4f6506a4bf8c3feca557f5cffe7bac8169,10000,2452001
19535495,87,mint,0x2962011c7717b2f705d9184bdaa2219aa2b223ddfb9525141e00019e4d3feb99,10000,2462001
19535495,88,mint,0x76b561db617e060abcc7cadbb0ed94c9b0ba6ea530496d8944a683a590279cbf,10000,2472001
19535500,67,mint,0xc7e4ece8a10eee1a3c6f23adbb3f6ed322ae038359ec38a3ba4cd988170837e2,10000,2482001
19535500,208,mint,0xd9db3ce9054ec95166aef2e5b1f2e0f7c76444c8b9bb2526ea366e7a4ed20746,10000,2492001
19535506,55,mint,0x09647d74891847a3a4af901699a03f0f133f6e009ff2e607320734ca568a149b,10000,2502001
19535510,82,mint,0x69d4767cfbf94bfd6aed23d334b9590cda604d74bfd9b09d212ea46fdf578572,10000,2512001
19535510,83,mint,0x76c07f811765241d8a961148c0fad585a548db29e28e40a1c338273073fb329c,10000,2522001
19535522,65,mint,0x82313b2e91ad287f425603f7dcd7d22d38ec829e9de243708667050774e99ba7,10000,2532001
19535525,131,mint,0x2e34345d57407ada7ed631e8383afb93f9f3aa69518a11d5740c78a3b6670d41,10000,2542001
19535529,80,mint,0xb8e7abd6aaa84e207cb2834238b24872d17c2c4beaa6a6b8ac6e2e10098b9d56,10000,2552001
19535532,108,mint,0x480481b82b04e957d31df3ca1aa0a36f3e706b3ddbb956f40928873fb478019c,10000,2562001
19535532,109,mint,0xe07afc009ac0c3bdd1a7b9e6ea7c6f69ed0c19858cc6cc78a62d26aca8413406,10000,2572001
19535545,58,mint,0xdd40fcc924c806993fcfdd184b84a7f11d9463acc18989c7e0d2790dc4203936,10000,2582001
19535545,156,mint,0xb155f87dba9337adcf9ffdcc1c0aab112315cb8ada774e707fad5bc0dc8f3213,10000,2592001
19535545,157,mint,0x97214389f6c56b8f0ba383382cc150bbf8db994e2a78849562a0ab7b7fa56331,10000,2602001
19535545,158,mint,0x563e6dc1decf323159a6cb70b5511aef41426e4cfeb0e3d03d6d017b85825e51,10000,2612001
19535549,113,mint,0x85ca20d90c9b21ca8adb7bd097c10db19dc1fb76bd8f1b7a046231b857a8b56c,10000,2622001
19535549,114,mint,0x7974c8b3d00ea36ce227fee909eed1bc296f213fae170d5b5e83f0c2366f1c18,10000,2632001
19535557,82,mint,0x6404d00766edc1eca02d0433ee82be04dcdba881f5342a562f0113cc65412b48,10000,2642001
19535557,84,mint,0xf3b6d48d5c13d82132000a85a8f61bf0d36dbdea756f9931aa9ad2cdf6c1a304,10000,2652001
19535557,262,mint,0xa99e3d0abcd6cfda71b2df6e727e8bcdf7de822a71941d7f43bef1dfbe9cf333,10000,2662001
19535557,263,mint,0x3fb7d5929743af85d958abaf5fb5abff3d1bacbe4e084ede4e22badbb8151c99,10000,2672001
19535558,94,mint,0x9fb39b8df66295ac0dba344f530e3df37bf7d759c06402ce52eb69f9499864e8,10000,2682001
19535560,74,mint,0xc732d5d9273767b0452dde5416a9ca58090a66884114b6bc932da904d3c53d59,10000,2692001
19535560,175,mint,0xa640751def55ebdff24b455369f4401f1e7c048506709ddcccc19de88aa35cc4,10000,2702001
19535564,79,mint,0xaabb874a66064aedf747276816b6059ba6e6549015168ed7e0a1a94981171c97,10000,2712001
19535568,56,mint,0x6c2f4b3ab92fda93530ce0b19c580ba365ce638bd3d8c74c3c11974c50ef7b07,10000,2722001
19535572,58,mint,0xfcfed5a7b04eb2da1ecfb577ccb6d60b8fff68e63c2bda879856b48b767e3b7a,10000,2732001
